Comparison ID,Model 1_A1,Model 2_A1,GPP Winner_Final,CO2 Winner_Final,Overall Winner_Final
TS 1 vs TS 3,TS 1,TS 3,2,2,2
TS 1 vs TS 5,TS 1,TS 5,2,1,2
TS 1 vs TS 6,TS 1,TS 6,2,1,1
TS 1 vs TS 16,TS 1,TS 16,2,2,2
TS 1 vs TS 17,TS 1,TS 17,2,2,2
TS 2 vs TS 4,TS 2,TS 4,1,1,1
TS 2 vs TS 6,TS 2,TS 6,2,1,1
TS 2 vs TS 7,TS 2,TS 7,1,1,1
TS 2 vs TS 8,TS 2,TS 8,1,1,1
TS 2 vs TS 11,TS 2,TS 11,1,2,1
TS 2 vs TS 12,TS 2,TS 12,2,1,2
TS 2 vs TS 13,TS 2,TS 13,1,1,1
TS 2 vs TS 14,TS 2,TS 14,1,1,1
TS 2 vs TS 15,TS 2,TS 15,1,1,1
TS 2 vs TS 16,TS 2,TS 16,1,1,1
TS 2 vs TS 18,TS 2,TS 18,2,2,2
TS 2 vs TS 19,TS 2,TS 19,2,2,2
TS 3 vs TS 4,TS 3,TS 4,1,2,1
TS 3 vs TS 6,TS 3,TS 6,2,2,2
TS 3 vs TS 8,TS 3,TS 8,1,2,2
TS 3 vs TS 13,TS 3,TS 13,2,2,2
TS 3 vs TS 16,TS 3,TS 16,2,1,1
TS 3 vs TS 17,TS 3,TS 17,2,1,2
TS 4 vs TS 6,TS 4,TS 6,2,1,2
TS 4 vs TS 8,TS 4,TS 8,2,2,2
TS 4 vs TS 12,TS 4,TS 12,2,2,2
TS 4 vs TS 13,TS 4,TS 13,2,1,2
TS 4 vs TS 14,TS 4,TS 14,2,2,2
TS 4 vs TS 15,TS 4,TS 15,2,2,2
TS 4 vs TS 18,TS 4,TS 18,2,2,2
TS 4 vs TS 19,TS 4,TS 19,2,2,2
TS 6 vs TS 7,TS 6,TS 7,1,1,1
TS 6 vs TS 12,TS 6,TS 12,2,2,2
TS 6 vs TS 13,TS 6,TS 13,1,2,1
TS 6 vs TS 14,TS 6,TS 14,1,2,2
TS 6 vs TS 16,TS 6,TS 16,1,1,1
TS 6 vs TS 17,TS 6,TS 17,2,2,2
TS 6 vs TS 18,TS 6,TS 18,2,2,2
TS 6 vs TS 19,TS 6,TS 19,2,2,2
TS 7 vs TS 12,TS 7,TS 12,2,2,2
TS 7 vs TS 13,TS 7,TS 13,1,2,2
TS 7 vs TS 14,TS 7,TS 14,2,2,2
TS 7 vs TS 16,TS 7,TS 16,1,2,2
TS 8 vs TS 12,TS 8,TS 12,2,1,2
TS 8 vs TS 13,TS 8,TS 13,2,1,1
TS 8 vs TS 14,TS 8,TS 14,2,2,2
TS 8 vs TS 15,TS 8,TS 15,1,2,2
TS 8 vs TS 16,TS 8,TS 16,1,1,1
TS 8 vs TS 18,TS 8,TS 18,2,2,2
TS 8 vs TS 19,TS 8,TS 19,2,2,2
TS 11 vs TS 14,TS 11,TS 14,2,1,2
TS 11 vs TS 15,TS 11,TS 15,2,1,2
TS 11 vs TS 18,TS 11,TS 18,2,1,2
TS 11 vs TS 19,TS 11,TS 19,2,1,2
TS 12 vs TS 13,TS 12,TS 13,1,1,1
TS 12 vs TS 14,TS 12,TS 14,1,2,1
TS 12 vs TS 15,TS 12,TS 15,1,2,1
TS 12 vs TS 17,TS 12,TS 17,2,1,1
TS 12 vs TS 18,TS 12,TS 18,2,2,2
TS 12 vs TS 19,TS 12,TS 19,2,2,2
TS 13 vs TS 14,TS 13,TS 14,2,2,2
TS 13 vs TS 16,TS 13,TS 16,2,1,1
TS 13 vs TS 17,TS 13,TS 17,2,1,2
TS 14 vs TS 15,TS 14,TS 15,1,2,1
TS 14 vs TS 17,TS 14,TS 17,2,1,2
TS 14 vs TS 18,TS 14,TS 18,2,2,2
TS 14 vs TS 19,TS 14,TS 19,2,2,2
TS 15 vs TS 18,TS 15,TS 18,2,2,2
TS 15 vs TS 19,TS 15,TS 19,2,2,2
TS 16 vs TS 17,TS 16,TS 17,2,2,2
TS 17 vs TS 18,TS 17,TS 18,1,2,2
TS 17 vs TS 19,TS 17,TS 19,1,2,2
TS 18 vs TS 19,TS 18,TS 19,1,1,1
